age,state,education_level,employment_type,employment_stability_months,monthly_income,monthly_rent,monthly_cashflow,rent_payment_consistency,utility_payment_consistency,phone_payment_consistency,insurance_payment_consistency,num_subscriptions,subscription_payment_consistency,minimum_bank_balance,monthly_savings,savings_goal_completion_rate,p2p_monthly_volume,risky_p2p_ratio,monthly_overdrafts,credit_score,loan_approval
19,GA,bachelors,gig,3,1851,925,0,0.589,0.66,0.7,0.5,6,0.516,109,0,0.178,0,0.315,3,578,No
18,NJ,graduate,gig,3,3354,563,1851,0.611,0.526,0.6,0.5,1,0.69,288,159,0.031,44,0.319,2,531,No
23,NY,high_school,gig,2,2982,596,2480,0.765,0.846,0.788,0.845,3,0.933,262,281,0.427,166,0.211,3,531,No
19,MO,some_college,gig,0,3047,1050,1185,0.792,0.691,0.671,0.676,8,0.61,251,227,0.118,16,0.342,4,550,No
23,WA,graduate,gig,1,2235,1071,589,0.854,0.897,0.841,0.858,2,0.623,237,38,0.182,149,0.22,1,560,No
18,AZ,some_college,gig,5,2024,556,830,0.739,0.704,0.754,0.675,4,0.986,275,2,0.138,174,0.365,2,544,No
20,IN,bachelors,gig,4,2729,403,2409,0.805,0.807,0.863,0.972,4,0.921,274,119,0.024,165,0.262,3,523,No
25,MI,bachelors,gig,4,1839,514,1014,0.596,0.518,0.6,0.5,1,0.543,181,17,0.191,64,0.139,3,524,No
24,MI,some_college,gig,0,2233,952,647,0.66,0.711,0.655,0.743,8,0.726,167,10,0.0,141,0.169,1,520,No
19,IN,high_school,gig,0,1864,738,759,0.595,0.646,0.6,0.659,2,0.862,257,109,0.134,121,0.342,2,536,No
24,FL,high_school,gig,4,2756,1146,1053,0.524,0.593,0.6,0.5,3,0.595,261,111,0.078,127,0.362,3,542,No
18,IL,some_college,gig,5,1991,995,810,0.663,0.657,0.642,0.861,0,0.582,99,79,0.451,200,0.237,3,497,No
25,OH,bachelors,part_time,3,2117,594,330,0.887,0.911,0.913,0.715,5,0.529,229,41,0.463,20,0.117,1,590,No
21,MD,some_college,part_time,5,2626,522,1648,0.738,0.774,0.808,0.721,8,0.658,199,275,0.223,135,0.219,4,531,No
19,TX,high_school,part_time,11,1819,869,1070,0.715,0.717,0.739,0.727,5,0.94,250,98,0.0,278,0.311,3,541,No
22,NC,some_college,part_time,1,3158,506,1545,0.546,0.428,0.6,0.5,4,0.641,224,132,0.284,436,0.179,2,580,No
22,PA,bachelors,part_time,10,1890,403,899,0.755,0.683,0.75,0.776,6,0.78,115,212,0.587,76,0.264,2,587,Yes
18,VA,high_school,part_time,3,2431,773,1215,0.584,0.509,0.604,0.737,8,0.942,220,188,0.103,121,0.359,1,565,No
23,NC,some_college,part_time,4,3402,821,2383,0.564,0.624,0.698,0.5,0,0.929,245,486,0.384,312,0.346,2,526,No
23,VA,bachelors,part_time,6,2370,471,989,0.757,0.726,0.746,0.848,0,0.558,348,44,0.367,135,0.111,2,582,Yes
19,NC,some_college,part_time,6,2588,990,1313,0.518,0.499,0.6,0.567,8,0.843,372,241,0.187,220,0.121,3,522,No
19,AZ,bachelors,part_time,1,3274,707,1430,0.63,0.69,0.671,0.552,3,0.71,471,242,0.58,315,0.271,2,535,No
23,OH,graduate,part_time,4,2752,852,1701,0.704,0.793,0.827,0.827,1,0.642,320,263,0.066,487,0.325,1,553,No
18,MA,high_school,part_time,12,2301,886,1251,0.666,0.705,0.648,0.673,6,0.747,171,205,0.031,54,0.334,1,546,No
19,IN,graduate,full_time,11,2734,536,1672,0.895,0.924,0.876,1.0,8,0.713,384,186,0.018,441,0.242,2,607,No
25,MA,bachelors,full_time,17,3083,644,1804,0.531,0.467,0.6,0.5,5,0.947,178,68,0.005,156,0.312,2,562,No
18,MD,graduate,full_time,29,2223,830,493,0.878,0.734,0.781,0.92,7,0.503,189,92,0.589,107,0.261,2,609,Yes
21,CA,graduate,full_time,6,2358,846,1139,0.656,0.706,0.739,0.713,2,0.92,334,279,0.511,201,0.278,1,606,Yes
25,WA,bachelors,full_time,15,2172,451,1455,0.631,0.617,0.625,0.521,6,0.639,315,153,0.412,240,0.106,1,604,No
18,OH,some_college,full_time,27,3344,431,2098,0.836,0.872,0.894,0.923,7,0.835,355,114,0.229,377,0.15,3,603,Yes
20,MI,high_school,full_time,7,2437,510,1249,0.73,0.853,0.873,0.849,3,0.538,290,195,0.075,154,0.355,3,565,No
18,VA,graduate,full_time,27,2511,945,1723,0.528,0.572,0.6,0.536,6,0.911,152,413,0.562,470,0.312,3,560,No
25,NJ,bachelors,full_time,19,2752,846,1403,0.841,0.94,0.905,0.726,7,0.622,265,214,0.233,14,0.248,3,614,Yes
23,MO,bachelors,full_time,13,2372,1010,822,0.504,0.638,0.6,0.5,6,0.744,298,141,0.433,125,0.234,3,563,No
